Fecha;Nivel de agua;Temperatura de agua;Conductividad Eléctrica;Nivel de bateria
2024-01-11 8:00:00;0,135;5,777;103,4;14,3
2024-01-11 8:05:00;0,135;5,791;103,3;14,05
2024-01-11 8:10:00;0,134;5,805;103,3;14,36
2024-01-11 8:15:00;0,135;5,833;103,2;14,37
2024-01-11 8:20:00;0,135;5,862;103,2;14,31
2024-01-11 8:25:00;0,135;5,87;103,1;14,12
2024-01-11 8:30:00;0,135;5,866;103,1;14,37
2024-01-11 8:35:00;0,135;5,872;103,2;14,37
2024-01-11 8:40:00;0,135;5,874;103,2;14,38
2024-01-11 8:45:00;0,135;5,885;103,2;14,38
2024-01-11 8:50:00;0,135;5,91;103,1;14,39
2024-01-11 8:55:00;0,135;5,934;103,1;14,37
2024-01-11 9:00:00;0,135;5,967;103;14,37
2024-01-11 9:05:00;0,135;5,996;103;14,37
2024-01-11 9:10:00;0,134;6,031;102,9;14,37
2024-01-11 9:15:00;0,135;6,061;102,9;14,37
2024-01-11 9:20:00;0,134;6,091;102,8;14,37
2024-01-11 9:25:00;0,135;6,124;102,7;14,37
2024-01-11 9:30:00;0,135;6,172;102,6;14,39
2024-01-11 9:35:00;0,134;6,223;102,5;14,37
2024-01-11 9:40:00;0,134;6,283;102,5;14,27
2024-01-11 9:45:00;0,134;6,343;102,5;14,38
2024-01-11 9:50:00;0,134;6,405;102,4;14,38
2024-01-11 9:55:00;0,134;6,448;102,3;14,37
2024-01-11 10:00:00;0,134;6,484;102,2;14,39
2024-01-11 10:05:00;0,134;6,522;102,2;14,3
2024-01-11 10:10:00;0,134;6,598;102,2;14,39
2024-01-11 10:15:00;0,134;6,69;102,1;14,37
2024-01-11 10:20:00;0,134;6,775;102;14,38
2024-01-11 10:25:00;0,134;6,843;101,9;14,38
2024-01-11 10:30:00;0,134;6,935;101,9;14,39
2024-01-11 10:35:00;0,134;7,055;101,8;14,38
2024-01-11 10:40:00;0,134;7,16;101,7;14,38
2024-01-11 10:45:00;0,134;7,29;101,5;14,38
2024-01-11 10:50:00;0,134;7,4;101,5;14,38
2024-01-11 10:55:00;0,134;7,465;101,4;14,38
2024-01-11 11:00:00;0,133;7,573;101,3;14,38
2024-01-11 11:05:00;0,133;7,67;101,2;14,38
2024-01-11 11:10:00;0,133;7,713;101,2;14,38
2024-01-11 11:15:00;0,133;7,783;101,1;14,38
2024-01-11 11:20:00;0,133;7,875;101,1;14,38
2024-01-11 11:25:00;0,133;7,914;100,9;14,38
2024-01-11 11:30:00;0,133;7,945;100,9;14,38
2024-01-11 11:35:00;0,133;8,02;100,8;14,38
2024-01-11 11:40:00;0,133;8,09;100,8;14,38
2024-01-11 11:45:00;0,133;8,12;100,8;14,38
2024-01-11 11:50:00;0,132;8,16;100,8;14,38
2024-01-11 11:55:00;0,132;8,25;100,7;14,38
2024-01-11 12:00:00;0,132;8,42;100,6;14,39
2024-01-11 12:05:00;0,132;8,59;100,5;14,38
2024-01-11 12:10:00;0,132;8,66;100,4;14,38
2024-01-11 12:15:00;0,132;8,64;100,5;14,38
2024-01-11 12:20:00;0,132;8,67;100,5;14,38
2024-01-11 12:25:00;0,132;8,75;100,4;14,39
2024-01-11 12:30:00;0,132;8,84;100,4;14,38
2024-01-11 12:35:00;0,132;8,93;100,4;14,38
2024-01-11 12:40:00;0,132;8,93;100,4;14,38
2024-01-11 12:45:00;0,132;8,94;100,5;14,38
2024-01-11 12:50:00;0,132;9,01;100,4;14,38
2024-01-11 12:55:00;0,132;9,04;100,4;14,39
2024-01-11 13:00:00;0,131;9,05;100,4;14,39
2024-01-11 13:05:00;0,131;9,07;100,4;14,38
2024-01-11 13:10:00;0,131;9,11;100,5;14,39
2024-01-11 13:15:00;0,131;9,21;100,4;14,39
2024-01-11 13:20:00;0,131;9,37;100,3;14,33
2024-01-11 13:25:00;0,131;9,47;100,2;14,39
2024-01-11 13:30:00;0,131;9,54;100,2;14,39
2024-01-11 13:35:00;0,131;9,53;100,3;14,38
2024-01-11 13:40:00;0,131;9,6;100,2;14,39
2024-01-11 13:45:00;0,131;9,61;100,5;14,38
